category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,url,article,screen_diagonal,ram,os,internal_storage,screen_size,cpu,main_camera,matrix,type_of_tablet,brand,announcement_year,android_version,hz_screen,ppi,processor_brand,processor_cores,ghz_processor,brand_graphic_proccessor,video_processor,front_camera,keyboard,case_material,waterproof,battery_capacity,accessories_included,dimensions,weight_g,country_of_origin,ios_version,harmonyos_version
tablets,"Ego Pad Планшет, 10.1"" 6 ГБ/128 ГБ, фиолетовый",,,4837.0,4.2,17,ArtHouse3D,4.5,https://www.ozon.kz/product/ego-pad-planshet-10-1-6-gb-128-gb-fioletovyy-1741841012/,1741841012,10.1,6.0,Android,128,1200x825,,20.0,IPS,Планшет,,2024,Android 13,,,MediaTek,4,1.4,,,8.0,Опционально,"Металл, Пластик",,10000,,240х160х9,450.0,Китай,,
tablets,"Samsung Планшет Galaxy Tab A9 SM-X216B LTE, Ростест (ЕАС), 11"" 4 ГБ/64 ГБ, серебристый",,,12846.0,4.9,118,ХОБОТ ДОСТАВИТ,4.8,https://www.ozon.kz/product/samsung-planshet-galaxy-tab-a9-sm-x216b-lte-rostest-eas-11-4-gb-64-gb-serebristyy-1406852744/,1406852744,11.0,4.0,Android,64,1920x1200,Snapdragon 695,8.0,TFT,Планшет,,2023,Android 13,,,Qualcomm,8,2.2,,,5.0,,Металл,Нет,7040,,"257,1х6,9х168,7",490.0,Китай,,
tablets,"Планшет512 ГБ/1024 ГБ, черный",,,3453.0,4.0,98,Магазин 3977207,3.9,https://www.ozon.kz/product/planshet512-gb-1024-gb-chernyy-3495500066/,3495500066,,512.0,Android,1024,1024x768,,,,Планшет,,,Android 13,,,,8,,,,,Опционально,,,,,,,Китай,,
tablets,"Apple Планшет iPad pro 11 M5 256g Silver + SIM, 11"" 12 ГБ/256 ГБ, белый, прозрачный",993950.0,1856033.0,82830.0,4.9,136,Mascot,4.9,https://www.ozon.kz/product/apple-planshet-ipad-pro-11-m5-256g-silver-sim-11-12-gb-256-gb-belyy-prozrachnyy-3047083457/,3047083457,11.0,12.0,iOS,256,,M5,12.0,OLED,Планшет,Apple,2025,,,264.0,Apple,10,4.6,Apple,,12.0,Опционально,"Металл, Стекло",Нет,8320,,249.7*177.5*5.3,444.0,Китай,iOS 26,
tablets,"Планшет Планшет 2026 5G Абсолютно новый,10,36-дюймовый , 12000 мАч, 16 ГБ + 1 ТБ, Android 13.0, Wifi, 14-ядерный планшетный ПК, сетевой глобальный планшет，Бесплатная Bluetooth-клавиатура + магнитный кожаный чехол + Bluetooth-гарнитура, 10.36"" 16 ГБ/1024 ГБ, темно-серый",49110.0,161789.0,4093.0,5.0,239,Minto,5.0,https://www.ozon.kz/product/planshet-planshet-2026-5g-absolyutno-novyy-10-36-dyuymovyy-12000-mach-16-gb-1-tb-android-13-0-3516410861/,3516410861,10.36,16.0,Android,1024,2560x1600,Snapdragon 888,32.0,IPS,Планшет,,2026,Android 13,,32.0,Qualcomm,14,3.2,MediaTek,,16.0,Есть,"Металл, Пластик",Да,12000,"Клавиатура, Стилус",300*200*50,500.0,Китай,,
tablets,"Apple Планшет iPad Pro 13 M5 2TB Wi-Fi + Cellular (eSim), Nano-texture glass, Silver, 13"" 16 ГБ/2048 ГБ, серебристый, серый металлик",1668246.0,5929604.0,139021.0,5.0,6,ROCKETNIKS,4.9,https://www.ozon.kz/product/apple-planshet-ipad-pro-13-m5-2tb-wi-fi-cellular-esim-nano-texture-glass-silver-13-16-gb-2048-3020302786/,3020302786,13.0,16.0,iOS,2048,2752x2064,M5,12.0,Ultra Retina XDR,Планшет,Apple,2025,,120,264.0,Apple,10,4.6,Apple,,12.0,Опционально,Металл,Нет,10340,,281.6x215.5x5.1,582.0,Китай,iPadOS 26,
tablets,"Планшет Xiao M! Pad 8 Pro, 10.1"" 16 ГБ/1024 ГБ, черный матовый",51024.0,321260.0,4252.0,4.9,40,ER Store,4.7,https://www.ozon.kz/product/planshet-xiao-m-pad-8-pro-10-1-16-gb-1024-gb-chernyy-matovyy-3748828140/,3748828140,10.1,16.0,Android,1024,2560x1600,Snapdragon 8 Gen3,32.0,Super AMOLED,Планшет,,2026,Android 15,120,,Qualcomm,8,3.3,Qualcomm,Adreno 750,16.0,Опционально,"Металл, Стекло, Пластик",Да,10000,Клавиатура,214*160*8.7,300.0,Китай,,
tablets,,,,,,,,,https://www.ozon.kz/product/detskiy-planshet-6-95-2-gb-16-gb-temno-rozovyy-3141939682/,3141939682,6.95,2.0,Android,16,1024x600,,5.0,IPS,Детский планшет,,2024,Android 9.x,60,,,4,1.3,,,2.0,Опционально,"Стекло, Пластик, Металл",Да,2200,,205x155x14,400.0,Китай,,
tablets,"HUAWEI Планшет, 11.5"" 12 ГБ/256 ГБ, серый",234417.0,457366.0,19535.0,,,Buyon,4.8,https://www.ozon.kz/product/huawei-planshet-11-5-12-gb-256-gb-seryy-3415688043/,3415688043,11.5,12.0,HarmonyOS,256,2800x1840,,13.0,LCD,Планшет,,2026,,144,,,,,,,8.0,Есть,,,8800,Клавиатура,177.3х261.0х6.1,515.0,Китай,,HarmonyOS 4.3.0
tablets,"Apple Планшет iPad 11, 128 GB6 ГБ/128 ГБ, розовый",273347.0,539317.0,22779.0,4.9,62,AppleExpress,4.7,https://www.ozon.kz/product/apple-planshet-ipad-11-128-gb6-gb-128-gb-rozovyy-2063571780/,2063571780,,6.0,iOS,128,2360x1640,A16 Bionic,12.0,Retina IPS,Планшет,Apple,2025,,,,Apple,6,,Apple,,12.0,,"Металл, Стекло",,,,"248,6х179,5х7",477.0,,ipadOS 18,
